transaction_id,timestamp,account_id,account_age_days,ip_address,device_id,sku,seller_id,amount
TXN-10013,2026-03-16 06:46:00,ACC-1013,227,10.98.153.120,DEV-79352,SKU-BAG-666,SELLER-028,47.65
TXN-10021,2026-03-16 16:04:00,ACC-1021,313,10.59.151.57,DEV-10942,SKU-SHOE-824,SELLER-021,273.04
TXN-10029,2026-03-17 08:20:00,ACC-1029,109,10.49.76.56,DEV-17665,SKU-CUP-853,SELLER-018,31.29
TXN-10033,2026-03-17 09:29:00,ACC-1033,97,10.172.166.77,DEV-69929,SKU-MUG-869,SELLER-030,192.03
TXN-10030,2026-03-17 14:04:00,ACC-1030,329,10.123.129.236,DEV-79615,SKU-PHONE-158,SELLER-017,184.59
TXN-10015,2026-03-19 05:19:00,ACC-1015,399,10.225.185.68,DEV-75612,SKU-PHONE-619,SELLER-030,254.88
TXN-10012,2026-03-21 06:27:00,ACC-1012,100,10.131.127.24,DEV-16175,SKU-SHOE-256,SELLER-021,184.98
TXN-10023,2026-03-21 12:06:00,ACC-1023,481,10.147.148.122,DEV-41850,SKU-HAT-926,SELLER-014,202.81
TXN-10003,2026-03-21 19:06:00,ACC-1003,418,10.207.41.179,DEV-65392,SKU-MUG-384,SELLER-005,41.43
TXN-10022,2026-03-22 02:08:00,ACC-1022,470,10.85.19.132,DEV-41195,SKU-BAG-785,SELLER-016,221.16
TXN-10037,2026-03-22 06:40:00,ACC-1037,313,10.40.70.73,DEV-89276,SKU-LAMP-834,SELLER-011,258.08
TXN-10020,2026-03-22 11:21:00,ACC-1020,373,10.167.96.113,DEV-77839,SKU-HAT-223,SELLER-008,20.99
TXN-10001,2026-03-23 01:38:00,ACC-1001,309,10.23.152.109,DEV-14165,SKU-BOOK-195,SELLER-007,22.56
TXN-10017,2026-03-23 03:05:00,ACC-1017,195,10.126.5.29,DEV-57576,SKU-BAG-345,SELLER-002,39.41
TXN-10036,2026-03-23 12:56:00,ACC-1036,448,10.142.77.239,DEV-96951,SKU-SHOE-999,SELLER-005,45.51
TXN-10025,2026-03-23 23:15:00,ACC-1025,157,10.50.49.138,DEV-68800,SKU-PHONE-532,SELLER-006,264.23
TXN-10027,2026-03-27 10:10:00,ACC-1027,464,10.61.43.105,DEV-73653,SKU-HAT-318,SELLER-028,123.01
TXN-10006,2026-03-27 17:29:00,ACC-1006,368,10.59.198.75,DEV-20458,SKU-LAMP-987,SELLER-004,196.17
TXN-10010,2026-03-28 05:29:00,ACC-1010,138,10.234.242.146,DEV-51245,SKU-LAMP-771,SELLER-016,55.72
TXN-10014,2026-03-28 14:29:00,ACC-1014,483,10.138.193.69,DEV-94012,SKU-MUG-214,SELLER-010,15.92
TXN-20001,2026-03-28 23:47:18,ACC-GANG-01,3,192.168.10.42,DEV-FRAUD-001,SKU-PREMWATCH-7829,SELLER-FRAUD-X,513.38
TXN-20000,2026-03-28 23:47:38,ACC-GANG-00,2,192.168.10.42,DEV-FRAUD-001,SKU-PREMWATCH-7829,SELLER-FRAUD-X,517.8
TXN-20005,2026-03-28 23:47:52,ACC-GANG-05,3,192.168.10.42,DEV-FRAUD-005,SKU-PREMWATCH-7829,SELLER-FRAUD-X,494.15
TXN-20006,2026-03-28 23:48:19,ACC-GANG-06,5,192.168.10.42,DEV-FRAUD-006,SKU-PREMWATCH-7829,SELLER-FRAUD-X,517.03
TXN-20007,2026-03-28 23:48:23,ACC-GANG-07,3,192.168.10.42,DEV-FRAUD-007,SKU-PREMWATCH-7829,SELLER-FRAUD-X,519.05
TXN-20004,2026-03-28 23:50:03,ACC-GANG-04,2,192.168.10.42,DEV-FRAUD-001,SKU-PREMWATCH-7829,SELLER-FRAUD-X,488.4
TXN-20003,2026-03-28 23:50:06,ACC-GANG-03,4,192.168.10.42,DEV-FRAUD-001,SKU-PREMWATCH-7829,SELLER-FRAUD-X,515.96
TXN-20009,2026-03-28 23:50:30,ACC-GANG-09,4,192.168.10.42,DEV-FRAUD-009,SKU-PREMWATCH-7829,SELLER-FRAUD-X,512.09
TXN-20008,2026-03-28 23:50:31,ACC-GANG-08,3,192.168.10.42,DEV-FRAUD-008,SKU-PREMWATCH-7829,SELLER-FRAUD-X,480.99
TXN-20002,2026-03-28 23:50:40,ACC-GANG-02,3,192.168.10.42,DEV-FRAUD-001,SKU-PREMWATCH-7829,SELLER-FRAUD-X,485.1
TXN-10011,2026-03-29 03:25:00,ACC-1011,101,10.64.191.144,DEV-80644,SKU-BAG-864,SELLER-019,118.17
TXN-10018,2026-03-31 02:10:00,ACC-1018,278,10.209.18.251,DEV-79822,SKU-PHONE-231,SELLER-022,90.54
TXN-10026,2026-04-01 09:05:00,ACC-1026,68,10.114.207.221,DEV-82132,SKU-SHOE-151,SELLER-021,279.01
